dataset,model,accuracy,precision_pos,recall_pos,f1_pos,precision_macro,recall_macro,f1_macro
health_labelled,TextBlob_default,0.5166666666666667,0.5185185185185185,0.4666666666666667,0.49122807017543857,0.5168350168350169,0.5166666666666666,0.5154553049289892
vader_labelled,VADER_default,0.7583333333333333,0.8604651162790697,0.6166666666666667,0.7184466019417476,0.7808819087888855,0.7583333333333333,0.7533838849124797
